country,region,year,latitude,longitude,type_of_violence,best
Georgia,Europe,1993,43.094317,41.674261,1,1
Georgia,Europe,1993,43.032665,41.481101,1,2
Georgia,Europe,1992,42.227636,43.968608,1,4
Georgia,Europe,1993,43.001962,41.013907,1,1
Georgia,Europe,1993,43.054959,40.996664,1,29
Georgia,Europe,1993,42.76816,41.669478,1,4
Georgia,Europe,1993,42.268889,42.079167,1,2
Georgia,Europe,1993,42.141944,41.676389,1,1
Georgia,Europe,1993,43.001962,41.013907,1,1
Georgia,Europe,2008,42.333333,44.0,1,0
Georgia,Europe,2008,42.333333,44.0,1,2
Georgia,Europe,1993,43.001962,41.013907,1,1
Georgia,Europe,1993,41.979768,41.842424,1,40
Georgia,Europe,1993,43.001962,41.013907,1,8
Georgia,Europe,1993,43.001962,41.013907,1,1
Georgia,Europe,1993,42.7794,41.3756,1,100
Georgia,Europe,1993,41.979768,41.842424,1,0
Georgia,Europe,1993,41.979768,41.842424,1,0
Georgia,Europe,1993,42.916667,41.75,1,3
Georgia,Europe,1993,43.001962,41.013907,1,3
Georgia,Europe,1993,43.001962,41.013907,1,1
Georgia,Europe,1993,42.709429,41.474563,1,7
Georgia,Europe,1993,43.001962,41.013907,1,2
Georgia,Europe,1993,43.001962,41.013907,1,70
Georgia,Europe,1993,43.001962,41.013907,1,40
Georgia,Europe,1993,43.001962,41.013907,1,14
Georgia,Europe,1993,43.001962,41.013907,1,3
Georgia,Europe,1993,43.001962,41.013907,3,46
Georgia,Europe,1993,43.001962,41.013907,1,1
Georgia,Europe,1993,42.7794,41.3756,1,0
Georgia,Europe,1993,43.001962,41.013907,1,4
Georgia,Europe,1993,43.054959,40.996664,1,3
Georgia,Europe,1993,43.226206,40.352582,3,0
Georgia,Europe,1993,42.318078,41.899979,3,0
Georgia,Europe,1993,43.001962,41.013907,1,0
Georgia,Europe,1993,42.141944,41.676389,1,1
